sel	array	sample	call status	purity	ploidy	Genome doublings	delta	Coverage for 80% power	Cancer DNA fraction	Subclonal genome fraction	tau	E_CR
3	TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_C07_913954	TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_C07_913954	called	1	3	0	0.33	12	1	0	3.004166024	0
2	BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_C02_1320502	BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_C02_1320502	called	0.49	3	0	0.2	21	0.59	0	2.951658624	0
4	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_D04_809302	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_D04_809302	called	0.79	3	0	0.28	14	0.85	0	2.996608264	0
3	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_D11_932784	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_D11_932784	called	0.79	3	0	0.28	14	0.85	0	2.966791514	0
4	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_B01_809130	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_B01_809130	called	0.7	3	0	0.26	16	0.78	0	2.978853934	0
4	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_E02_863754	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_E02_863754	called	0.43	3	0	0.18	27	0.53	0	2.959800086	0
1	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_C09_932658	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_C09_932658	called	0.49	3	0	0.2	21	0.59	0	3.011286084	0
3	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_B01_831578	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_B01_831578	called	0.66	3	0	0.25	17	0.74	0	2.970989039	0
3	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_C02_1361880	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_C02_1361880	called	0.58	3	0	0.22	18	0.67	0	2.972853998	0
1	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_F12_1361832	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_F12_1361832	called	0.67	2	0	0.33	12	0.67	0	2.012791236	0
1	ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A02_734670	ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A02_734670	called	0.67	2	0	0.34	12	0.67	0	1.972935299	0
3	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_F02_863708	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_F02_863708	called	0.6	3	0	0.23	18	0.69	0	2.971112075	0
2	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_C02_1376796	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_C02_1376796	called	0.68	3	0	0.25	16	0.76	0	3.020925237	0
4	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_G09_831666	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_G09_831666	called	0.59	3	0	0.23	18	0.68	0	2.957479896	0
4	PALPS_p_TCGA_265_266_267_N_GenomeWideSNP_6_C06_1306726	PALPS_p_TCGA_265_266_267_N_GenomeWideSNP_6_C06_1306726	called	0.61	3	0	0.23	18	0.7	0	3.01417167	0
3	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_F04_1361872	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_F04_1361872	called	0.72	3	0	0.26	16	0.79	0	2.987024276	0
2	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_F02_1361810	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_F02_1361810	called	0.61	3	0	0.23	18	0.7	0	3.01417167	0
4	DRAWN_p_TCGASNP_214_215_N_GenomeWideSNP_6_B03_1148338	DRAWN_p_TCGASNP_214_215_N_GenomeWideSNP_6_B03_1148338	called	0.44	3	0	0.18	26	0.54	0	2.955931592	0
3	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_G06_831488	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_G06_831488	called	0.58	3	0	0.22	18	0.67	0	2.972853998	0
3	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_A10_831516	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_A10_831516	called	1	3	0	0.33	12	1	0	2.974274073	0
1	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_E04_1361922	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_E04_1361922	called	0.85	2	0	0.43	9	0.85	0	1.988699824	0
3	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_B10_1376762	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_B10_1376762	called	0.44	3	0	0.18	27	0.54	0	2.955931592	0
2	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_C09_863382	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_C09_863382	called	0.69	3	0	0.26	16	0.77	0	2.970217659	0
3	ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A07_734652	ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A07_734652	called	0.57	3	0	0.22	19	0.66	0	2.957914786	0
3	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_C01_831622	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_C01_831622	called	0.59	3	0	0.23	18	0.68	0	2.957479896	0
1	TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_D12_1301180	TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_D12_1301180	called	0.73	2	0	0.36	11	0.73	0	2.004288741	0
1	CLUBS_p_TCGA_186_188_SNP_N_GenomeWideSNP_6_A08_914034	CLUBS_p_TCGA_186_188_SNP_N_GenomeWideSNP_6_A08_914034	called	0.84	3	0	0.3	14	0.89	0	3.014597083	0
1	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_F01_863248	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_F01_863248	called	0.79	2	0	0.4	10	0.79	0	1.982339408	0
3	LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_C08_1344358	LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_C08_1344358	called	0.69	3	0	0.26	16	0.77	0	2.970217659	0
4	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_A08_1376800	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_A08_1376800	called	0.67	2	0	0.34	12	0.67	0	1.972935299	0
4	EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_D01_1244760	EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_D01_1244760	called	0.51	3	0	0.2	20	0.61	0	2.961523045	0
3	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_C01_863250	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_C01_863250	called	0.58	3	0	0.22	18	0.67	0	2.972853998	0
2	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_C08_863776	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_C08_863776	called	0.6	3	0	0.23	18	0.69	0	2.971112075	0
1	LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_B03_1344408	LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_B03_1344408	called	0.65	3	0	0.24	17	0.73	0	2.960295976	0
4	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_C06_777928	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_C06_777928	called	0.45	3	0	0.18	26	0.55	0	2.980714388	0
4	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_A12_863642	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_A12_863642	called	0.38	3.01	0	0.16	32	0.48	0	2.900773471	0
3	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_F08_863748	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_F08_863748	called	0.68	3	0	0.25	16	0.76	0	2.931643403	0
2	MESNE_p_TCGAb_401_02_03_04_05_N_GenomeWideSNP_6_C12_1486952	MESNE_p_TCGAb_401_02_03_04_05_N_GenomeWideSNP_6_C12_1486952	called	0.69	3	0	0.26	16	0.77	0	2.970217659	0
4	PALPS_p_TCGA_265_266_267_N_GenomeWideSNP_6_B10_1306708	PALPS_p_TCGA_265_266_267_N_GenomeWideSNP_6_B10_1306708	called	0.57	3	0	0.22	19	0.66	0	2.957914786	0
3	LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_D01_1344352	LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_D01_1344352	called	0.62	3	0	0.24	17	0.71	0	2.99669403	0
2	PALPS_p_TCGA_265_266_267_N_GenomeWideSNP_6_C04_1306832	PALPS_p_TCGA_265_266_267_N_GenomeWideSNP_6_C04_1306832	called	0.53	3	0	0.21	20	0.63	0	2.968226215	0
1	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_D03_1365188	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_D03_1365188	called	0.67	2	0	0.33	12	0.67	0	2.012791236	0
3	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_F10_1376854	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_F10_1376854	called	0.53	3	0	0.21	20	0.63	0	2.998057384	0
4	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_B08_863760	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_B08_863760	called	0.73	3	0	0.27	15	0.8	0	2.994737102	0
4	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_D07_932740	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_D07_932740	called	0.44	3	0	0.18	27	0.54	0	3.015645371	0
4	LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_B02_1344370	LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_B02_1344370	called	0.67	3	0	0.25	16	0.75	0	3.01113754	0
2	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_A11_863728	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_A11_863728	called	0.67	2.99	0	0.25	16	0.75	0.01	2.981176221	0
1	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_E11_831568	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_E11_831568	called	0.72	2	0	0.36	11	0.72	0	1.957162916	0
2	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_F02_1376782	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_F02_1376782	called	0.67	3	0	0.25	16	0.75	0	3.01113754	0
4	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_C08_863334	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_C08_863334	called	0.83	3	0	0.29	14	0.88	0	2.951066494	0
4	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_D05_831612	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_D05_831612	called	0.56	3	0	0.22	19	0.65	0.01	2.971946377	0
3	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_F06_1376924	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_F06_1376924	called	0.62	3	0	0.24	17	0.71	0	3.026811306	0
3	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_D11_831588	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_D11_831588	called	0.57	3	0	0.22	19	0.66	0	2.957914786	0
1	TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_B12_913830	TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_B12_913830	called	0.73	2	0	0.36	11	0.73	0	2.004288741	0
1	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G01_730390	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G01_730390	called	0.67	2	0	0.34	12	0.67	0	1.972935299	0
3	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_F07_863684	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_F07_863684	called	0.35	3	0	0.15	35	0.45	0	2.941793555	0
4	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_E06_1376714	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_E06_1376714	called	0.62	3	0	0.24	17	0.71	0	2.966876426	0
4	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_E06_1376932	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_E06_1376932	called	0.7	3	0	0.26	16	0.78	0	3.008791914	0
3	BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_A07_1320618	BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_A07_1320618	called	0.51	3	0	0.2	20	0.61	0	2.961523045	0
2	JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_G01_1148496	JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_G01_1148496	called	0.74	3	0	0.27	15	0.81	0	2.972130301	0
4	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_B03_809298	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_B03_809298	called	0.51	3	0	0.2	20	0.61	0	2.961523045	0
1	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_F10_863638	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_F10_863638	called	0.66	2	0	0.33	12	0.66	0.01	1.982749576	0
3	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_A06_730372	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_A06_730372	called	0.62	3	0	0.24	17	0.71	0	2.966876426	0
4	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_D06_1376740	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_D06_1376740	called	0.55	3	0	0.22	19	0.65	0.01	3.001814934	0
4	TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_B06_913910	TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_B06_913910	called	0.47	3.01	0	0.19	24	0.57	0	2.997807181	0
3	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_B08_932718	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_B08_932718	called	0.63	3	0	0.24	17	0.72	0	2.978726717	0
2	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_E02_1376962	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_E02_1376962	called	0.63	3	0	0.24	17	0.72	0	3.008663418	0
3	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_H01_831644	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_H01_831644	called	0.6	3	0	0.23	18	0.69	0	2.971112075	0
4	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_G01_831676	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_G01_831676	called	0.83	3	0	0.29	14	0.88	0.02	2.980725206	0
4	TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_B11_913936	TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_B11_913936	called	0.56	3	0	0.22	19	0.65	0	2.971946377	0
3	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_G03_1365268	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_G03_1365268	called	0.6	3	0	0.23	18	0.69	0	2.971112075	0
2	TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_F05_913962	TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_F05_913962	called	0.62	3	0	0.24	17	0.71	0.01	2.99669403	0
2	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_A05_863670	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_A05_863670	called	0.74	3	0	0.27	15	0.81	0	2.972130301	0
2	ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_C08_734702	ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_C08_734702	called	0.63	3	0	0.24	17	0.72	0	3.008663418	0
2	CLUBS_p_TCGA_186_188_SNP_N_GenomeWideSNP_6_A04_914006	CLUBS_p_TCGA_186_188_SNP_N_GenomeWideSNP_6_A04_914006	called	0.62	3	0	0.24	17	0.71	0	2.99669403	0
1	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_B08_1376776	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_B08_1376776	called	0.66	2	0	0.33	12	0.66	0	1.982749576	0
3	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_B04_777854	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_B04_777854	called	1	3	0	0.33	12	1	0	2.974274073	0
3	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_B07_863740	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_B07_863740	called	0.7	3	0	0.26	16	0.78	0.01	2.978853934	0
3	JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_G06_1148492	JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_G06_1148492	called	0.52	3	0	0.21	20	0.62	0	2.98012188	0
4	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_G04_1376888	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_G04_1376888	called	1	3	0	0.33	12	1	0.01	3.004166024	0
