array	sample	call status	purity	ploidy	Genome doublings	delta	Coverage for 80% power	Cancer DNA fraction	Subclonal genome fraction	tau	E_CR
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_D05_1244778	EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_D05_1244778	called	0.94	2	0	0.47	8	0.94	0	1.9701793836247	0
CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_F07_1365218	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_F07_1365218	called	0.8	2.01	0	0.4	10	0.8	0.01	2.00743231194904	0
CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_B04_1376766	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_B04_1376766	called	0.6	2	0	0.3	14	0.6	0.05	2.01209079152941	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_A11_831652	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_A11_831652	called	0.6	2	0	0.3	13	0.6	0	1.97224872442987	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_F04_863662	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_F04_863662	called	0.78	2	0	0.39	10	0.78	0	1.95724650415031	0
BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_F06_863244	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_F06_863244	called	0.79	2	0	0.4	10	0.79	0	1.96261480137401	0
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G06_730366	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G06_730366	called	0.72	2	0	0.36	11	0.72	0	1.97683273081218	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_E09_831576	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_E09_831576	called	0.91	2	0	0.46	9	0.91	0	1.98513976160336	0
GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_G02_809230	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_G02_809230	called	0.61	2	0	0.31	13	0.61	0	1.9851682637627	0
UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_E10_1376928	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_E10_1376928	called	0.97	2	0	0.49	8	0.97	0	2.0128281894439	0
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_B01_932810	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_B01_932810	called	0.67	2	0	0.34	12	0.67	0.11	1.99276362861725	0
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F10_932840	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F10_932840	called	0.58	2	0	0.29	14	0.58	0.1	1.98431313104801	0
RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_G04_1361916	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_G04_1361916	called	0.6	2	0	0.3	14	0.6	0.07	1.99207015364193	0
BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_B12_1320554	BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_B12_1320554	called	0.75	3	0	0.27	15	0.82	0	2.9788849757173	0
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E02_932738	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_E02_932738	called	0.73	2	0	0.37	11	0.73	0	1.96460116481496	0
LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_B11_1344390	LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_B11_1344390	called	0.5	2	0	0.25	16	0.5	0.02	1.98745081374737	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_A06_831560	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_A06_831560	called	0.72	2	0	0.36	11	0.72	0	1.97683273081218	0
GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_F07_809218	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_F07_809218	called	0.37	2	0	0.18	26	0.37	0	1.95101305384723	0
RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_C10_1361840	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_C10_1361840	called	0.65	3	0	0.24	17	0.73	0	2.96029597579661	0
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_D07_1148560	JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_D07_1148560	called	0.72	2	0	0.36	11	0.72	0.04	1.99670023005429	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_E05_831638	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_E05_831638	called	0.52	2	0	0.26	16	0.52	0	1.96614256153577	0
BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_B09_863264	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_B09_863264	called	0.61	2	0	0.31	13	0.61	0	1.96541550950238	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_C09_831628	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_C09_831628	called	0.53	2	0	0.26	16	0.53	0.05	1.94657911617565	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_B05_831504	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_B05_831504	called	0.67	2	0	0.34	12	0.67	0	1.9729352992139	0
LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_D02_1344442	LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_D02_1344442	called	0.75	2	0	0.38	11	0.75	0	1.99834218144706	0
TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_C07_913954	TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_C07_913954	called	0.59	2	0	0.3	14	0.59	0.16	1.99844076283659	0
BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_C02_1320502	BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_C02_1320502	called	0.48	2	0	0.24	17	0.48	0	1.96605859395416	0
GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_D04_809302	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_D04_809302	called	0.64	2	0	0.32	13	0.64	0.21	1.98122016007982	0
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_D11_932784	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_D11_932784	called	0.73	2	0	0.36	11	0.73	0	2.00428874096235	0
GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_B01_809130	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_B01_809130	called	0.61	2	0	0.31	13	0.61	0.02	1.9851682637627	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_E02_863754	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_E02_863754	called	0.71	2	0	0.36	11	0.71	0.11	1.96896828241465	0
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_C09_932658	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_C09_932658	called	0.49	3	0	0.2	21	0.59	0	3.01128608393667	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_B01_831578	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_B01_831578	called	0.56	2	0	0.28	15	0.56	0	1.99407743491909	0
RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_C02_1361880	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_C02_1361880	called	0.79	2	0	0.4	10	0.79	0	1.98233940804968	0
RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_F12_1361832	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_F12_1361832	called	0.67	2	0	0.33	12	0.67	0	2.01279123604411	0
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A02_734670	ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A02_734670	called	0.67	2	0	0.34	12	0.67	0	1.9729352992139	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_F02_863708	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_F02_863708	called	0.87	2	0	0.44	9	0.87	0	1.95567994840853	0
CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_C02_1376796	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_C02_1376796	called	0.66	2	0	0.33	12	0.66	0	1.98274957580465	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_G09_831666	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_G09_831666	called	0.35	3	0	0.15	35	0.45	0	2.94179355460288	0
PALPS_p_TCGA_265_266_267_N_GenomeWideSNP_6_C06_1306726	PALPS_p_TCGA_265_266_267_N_GenomeWideSNP_6_C06_1306726	called	1	3	0	0.33	12	1	0	2.97427407256307	0
RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_F04_1361872	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_F04_1361872	called	0.53	2	0	0.27	15	0.53	0	1.98401332994826	0
RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_F02_1361810	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_F02_1361810	called	0.47	2	0	0.23	18	0.47	0	2.00366382212934	0
DRAWN_p_TCGASNP_214_215_N_GenomeWideSNP_6_B03_1148338	DRAWN_p_TCGASNP_214_215_N_GenomeWideSNP_6_B03_1148338	called	0.77	3	0	0.28	15	0.83	0	2.95550762675508	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_G06_831488	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_G06_831488	called	0.88	2	0	0.44	9	0.88	0	1.97815902827529	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_A10_831516	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_A10_831516	called	0.6	2	0	0.3	14	0.6	0.1	1.95886898441456	0
RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_E04_1361922	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_E04_1361922	called	0.85	2	0	0.43	9	0.85	0	1.98869982413709	0
CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_B10_1376762	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_B10_1376762	called	0.66	2	0	0.33	12	0.66	0	2.00267654032755	0
BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_C09_863382	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_C09_863382	called	0.73	2	0	0.37	11	0.73	0	1.96460116481496	0
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A07_734652	ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A07_734652	called	0.46	2	0	0.23	18	0.46	0	1.96103267697766	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_C01_831622	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_C01_831622	called	0.76	2	0	0.38	11	0.76	0	2.00483778910916	0
TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_D12_1301180	TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_D12_1301180	called	0.73	2	0	0.36	11	0.73	0	2.00428874096235	0
CLUBS_p_TCGA_186_188_SNP_N_GenomeWideSNP_6_A08_914034	CLUBS_p_TCGA_186_188_SNP_N_GenomeWideSNP_6_A08_914034	called	0.84	3	0	0.3	14	0.89	0	3.01459708292299	0
BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_F01_863248	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_F01_863248	called	0.79	2	0	0.4	10	0.79	0	1.98233940804968	0
LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_C08_1344358	LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_C08_1344358	called	0.87	2	0	0.44	9	0.87	0.01	1.99518730402984	0
CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_A08_1376800	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_A08_1376800	called	0.47	3	0	0.19	24	0.57	0.01	2.99780718133473	0
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_D01_1244760	EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_D01_1244760	called	0.71	2	0	0.36	11	0.71	0.02	1.98875674263635	0
BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_C01_863250	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_C01_863250	called	0.69	2	0	0.35	12	0.69	0.01	1.99159598259489	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_C08_863776	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_C08_863776	called	0.79	2	0	0.4	10	0.79	0	1.98233940804968	0
LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_B03_1344408	LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_B03_1344408	called	0.65	3	0	0.24	17	0.73	0	2.96029597579661	0
FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_C06_777928	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_C06_777928	called	0.36	3	0	0.15	34	0.46	0	2.89068154714311	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_A12_863642	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_A12_863642	called	0.58	2	0	0.29	14	0.58	0.1	1.95010083568511	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_F08_863748	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_F08_863748	called	0.51	2	0	0.25	16	0.51	0	1.92871276534849	0
MESNE_p_TCGAb_401_02_03_04_05_N_GenomeWideSNP_6_C12_1486952	MESNE_p_TCGAb_401_02_03_04_05_N_GenomeWideSNP_6_C12_1486952	called	0.6	2	0	0.3	13	0.6	0	1.97224872442987	0
PALPS_p_TCGA_265_266_267_N_GenomeWideSNP_6_B10_1306708	PALPS_p_TCGA_265_266_267_N_GenomeWideSNP_6_B10_1306708	called	0.49	2	0	0.25	17	0.49	0.14	1.98704798375389	0
LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_D01_1344352	LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_D01_1344352	called	0.75	2	0	0.38	11	0.75	0	1.97845834451561	0
PALPS_p_TCGA_265_266_267_N_GenomeWideSNP_6_C04_1306832	PALPS_p_TCGA_265_266_267_N_GenomeWideSNP_6_C04_1306832	called	0.7	2	0	0.35	11	0.7	0	1.98045191004609	0
CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_D03_1365188	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_D03_1365188	called	0.67	2	0	0.33	12	0.67	0	2.01279123604411	0
UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_F10_1376854	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_F10_1376854	called	0.69	2	0	0.34	12	0.69	0	2.01161185498413	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_B08_863760	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_B08_863760	called	0.79	2	0	0.4	10	0.79	0	2.00226225031811	0
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_D07_932740	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_D07_932740	called	0.55	2	0	0.28	15	0.55	0	1.9781518490631	0
LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_B02_1344370	LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_B02_1344370	called	0.39	2	0	0.2	21	0.39	0.04	1.99051114022932	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_A11_863728	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_A11_863728	called	0.73	1.99	0	0.37	11	0.73	0.03	1.9843457347751	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_E11_831568	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_E11_831568	called	0.72	2	0	0.36	11	0.72	0	1.95716291649051	0
CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_F02_1376782	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_F02_1376782	called	0.73	2	0	0.36	11	0.73	0	2.00428874096235	0
BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_C08_863334	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_C08_863334	called	0.65	2	0	0.33	12	0.65	0.01	1.97233295638319	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_D05_831612	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_D05_831612	called	0.67	3	0	0.25	16	0.75	0.01	2.98117622062106	0
UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_F06_1376924	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_F06_1376924	called	0.49	2	0	0.25	17	0.49	0.03	1.98704798375389	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_D11_831588	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_D11_831588	called	0.65	2	0	0.33	12	0.65	0	1.97233295638319	0
TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_B12_913830	TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_B12_913830	called	0.73	2	0	0.36	11	0.73	0	2.00428874096235	0
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G01_730390	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G01_730390	called	0.67	2	0	0.34	12	0.67	0	1.9729352992139	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_F07_863684	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_F07_863684	called	0.53	2	0	0.26	15	0.53	0	2.00395299541145	0
CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_E06_1376714	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_E06_1376714	called	0.74	2	0	0.37	11	0.74	0	1.97169761902777	0
UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_E06_1376932	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_E06_1376932	called	0.62	3	0	0.24	17	0.71	0	2.9668764262655	0
BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_A07_1320618	BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_A07_1320618	called	1	2	0	0.5	8	1	0.04	1.99371553324308	0
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_G01_1148496	JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_G01_1148496	called	0.8	2	0	0.4	10	0.8	0.02	1.98745802670785	0
GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_B03_809298	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_B03_809298	called	0.32	3	0	0.14	38	0.42	0	2.93997736022211	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_F10_863638	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_F10_863638	called	0.66	2	0	0.33	12	0.66	0.01	1.98274957580465	0
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_A06_730372	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_A06_730372	called	0.72	2	0	0.36	11	0.72	0	1.99670023005429	0
CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_D06_1376740	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_D06_1376740	called	0.66	2	0	0.33	12	0.66	0.01	2.00267654032755	0
TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_B06_913910	TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_B06_913910	called	0.6	2	0	0.3	13	0.6	0.08	1.97224872442987	0
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_B08_932718	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_B08_932718	called	0.48	2	0	0.24	17	0.48	0	2.00577561212316	0
UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_E02_1376962	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_E02_1376962	called	0.72	2	0	0.36	11	0.72	0.08	1.99670023005429	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_H01_831644	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_H01_831644	called	0.69	2	0	0.35	12	0.69	0	1.97177927146358	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_G01_831676	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_G01_831676	called	0.48	3	0	0.19	21	0.58	0.02	2.98999831709612	0
TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_B11_913936	TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_B11_913936	called	0.51	2	0	0.26	16	0.51	0	1.96728702065546	0
CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_G03_1365268	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_G03_1365268	called	0.5	2	0	0.25	16	0.5	0.02	1.98745081374737	0
TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_F05_913962	TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_F05_913962	called	0.47	2	0	0.24	17	0.47	0.01	1.98372703398838	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_A05_863670	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_A05_863670	called	0.79	2	0	0.4	10	0.79	0.01	1.98233940804968	0
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_C08_734702	ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_C08_734702	called	0.68	2	0	0.34	12	0.68	0	1.98245805998436	0
CLUBS_p_TCGA_186_188_SNP_N_GenomeWideSNP_6_A04_914006	CLUBS_p_TCGA_186_188_SNP_N_GenomeWideSNP_6_A04_914006	called	0.74	2	0	0.37	11	0.74	0	1.97169761902777	0
CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_B08_1376776	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_B08_1376776	called	0.66	2	0	0.33	12	0.66	0	1.98274957580465	0
FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_B04_777854	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_B04_777854	called	0.68	2	0	0.34	12	0.68	0.05	1.96273227270221	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_B07_863740	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_B07_863740	called	0.72	2	0	0.36	11	0.72	0.01	1.97683273081218	0
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_G06_1148492	JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_G06_1148492	called	0.78	2	0	0.39	10	0.78	0	1.97691715854193	0
